,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
141,Sioux Lookout,50.1001,-91.917,21.2,86,75,10.36,CA,1612341511
142,Waingapu,-9.6567,120.2641,78.06,84,100,12.06,ID,1612341512
143,Kontagora,10.3999,5.4695,86.14,12,9,8.81,NG,1612341512
144,Bell Ville,-32.6259,-62.6887,57.51,98,6,1.99,AR,1612341366
145,Ugoofaaru,5.6667,73.0,82.02,73,100,16.04,MV,1612341512
146,Saint-Leu,-21.15,55.2833,82.44,58,0,25.32,RE,1612341513
147,Baruun-Urt,46.6806,113.2792,4.05,89,0,10.16,MN,1612341513
148,Matagami,49.7502,-77.6328,10.4,100,90,10.36,CA,1612341513
149,Rockhampton,-23.3833,150.5,82.4,57,3,11.5,AU,1612341513
150,Robertsport,6.7533,-11.3686,78.89,86,15,6.42,LR,1612341514
151,Orlik,52.5178,99.825,14.72,87,99,4.68,RU,1612341514
152,San Rafael,-34.6177,-68.3301,62.49,48,3,3.2,AR,1612341514
153,Vila Franca do Campo,37.7167,-25.4333,51.69,66,40,16.11,PT,1612341514
154,Lompoc,34.6391,-120.4579,50.04,100,90,4.61,US,1612341515
155,Kerema,-7.9631,145.7785,81.93,72,94,2.24,PG,1612341515
156,Khudumelapye,-23.8833,24.75,73.02,71,100,12.12,BW,1612341515
157,Nacala,-14.5428,40.6728,87.8,62,75,6.91,MZ,1612341515
158,Cienfuegos,22.1461,-80.4356,53.6,94,0,4.61,CU,1612341515
159,Lata,40.1629,-8.3327,55.62,94,20,5.01,PT,1612341516
160,Shizuishan,39.2333,106.7694,34.77,57,0,2.01,CN,1612341516
161,Ribeira Grande,38.5167,-28.7,55.4,67,40,18.41,PT,1612341516
162,Buchanan,5.8808,-10.0467,77.0,100,75,4.61,LR,1612341516
163,Juneau,58.3019,-134.4197,14.11,79,75,6.38,US,1612341517
164,Saint Paul Harbor,57.79,-152.4072,35.6,87,90,9.57,US,1612341517
165,Gambat,27.3515,68.5205,77.0,41,0,0.56,PK,1612341517
